solicitacao_bairro,processo_ocorrencia,confirmado,latitude,longitude,rain_hour,rain_day,altitude,ground_type,danger_level,flooding_risk,ground_amplitude,filtered_ocorrencia
57,9,0,-8.0118867,-34.9311631,3.4,22.4,31.0,0,1,3,3,0
35,9,0,-8.0110993,-34.9585766,0.0,1.0,18.0,0,2,3,3,0
14,12,0,-8.0196778,-34.9031969,0.2,2.4,14.0,7,1,3,3,0
87,1,0,-8.0129684,-34.9212804,0.1,8.1,55.0,0,2,3,3,0
17,9,0,-7.9904374,-34.9316794,0.0,2.0,54.0,5,2,3,3,0
69,9,0,-8.0912895,-34.8836471,0.0,0.0,8.0,1,1,0,0,0
64,6,1,-8.0055139,-34.9251502,0.1,7.9,63.0,5,2,3,3,1
36,6,1,-8.0044956,-34.9066946,0.3,40.2,35.0,7,0,3,3,1
86,1,0,-8.028029,-34.9596924,0.6,10.0,12.0,4,1,0,1,0
31,9,0,-8.0878287,-34.9682585,0.0,1.0,14.0,6,2,3,3,1
64,6,1,-7.9999358,-34.9268208,,,66.0,5,2,3,3,1
81,2,0,-8.0892332,-34.9619079,0.0,1.5,16.0,7,1,0,1,0
4,12,0,-8.0149843,-34.9125177,0.4,4.1,36.0,0,2,3,3,0
56,9,0,-8.0039982,-34.9025626,1.2,46.0,25.0,5,1,2,1,0
2,6,1,-8.0148588,-34.9039956,0.0,1.0,47.0,0,2,3,3,1
5,9,0,-8.0212968,-34.9081116,6.8,13.0,44.0,7,2,3,3,0
55,5,0,-8.1340722,-34.9423642,0.1,2.3,70.0,4,2,3,3,0
57,9,0,-8.0063497,-34.9272845,0.0,8.0,47.0,5,2,3,3,1
15,9,0,-8.0687342,-34.9193115,0.0,5.0,11.0,2,1,0,0,0
45,1,0,-8.1263792,-34.9556476,0.0,2.7,32.0,4,2,3,3,0
8,1,0,-8.0941474,-34.9284115,0.0,1.0,13.0,2,1,2,0,0
31,12,0,-8.0878287,-34.9682585,15.0,133.0,14.0,6,2,3,3,0
11,9,0,-8.0070244,-34.8883412,1.3,9.1,12.0,5,1,3,3,0
64,6,1,-7.9983918,-34.9260199,7.2,133.0,66.0,5,0,3,3,1
35,6,1,-8.0188846,-34.9541938,4.8,67.0,27.0,0,1,2,1,1
43,6,1,-7.9955574,-34.9545086,0.3,26.0,61.0,5,0,3,3,1
55,1,0,-8.1371227,-34.9408076,10.8,61.0,41.0,4,3,3,4,0
57,1,0,-8.0118867,-34.9311631,0.0,0.0,31.0,0,1,3,3,0
45,6,1,-8.1169383,-34.951456,0.0,31.0,51.0,4,2,3,3,1
86,9,0,-8.0332034,-34.9795179,0.0,0.0,83.0,6,1,3,3,1
36,6,1,-8.0044956,-34.9066946,0.2,0.0,35.0,7,0,3,3,1
67,6,1,-7.9850539,-34.9301988,0.0,146.0,61.0,5,2,3,3,1
43,1,0,-7.9936546,-34.9339177,0.1,0.9,39.0,5,2,3,3,0
64,9,0,-8.0006698,-34.9280003,2.4,18.0,68.0,5,1,3,3,1
67,1,0,-7.981645,-34.9300907,0.0,0.0,61.0,5,2,3,3,0
67,6,1,-8.1114828,-34.9615055,0.0,10.0,64.0,6,3,3,4,1
4,6,1,-8.016403,-34.9137546,6.2,60.0,36.0,0,1,3,3,1
36,9,0,-7.9965093,-34.9208627,1.2,11.0,33.0,5,2,3,3,1
56,1,0,-8.0100627,-34.9034531,0.1,2.4,55.0,7,1,3,3,0
32,9,0,-8.0511193,-34.928542,0.9,6.0,10.0,7,1,0,0,0
36,6,1,-8.0044956,-34.9066946,0.1,7.9,35.0,7,0,3,3,1
12,9,0,-8.1330581,-34.9096635,0.0,1.0,10.0,2,1,0,0,0
41,12,0,-8.0145277,-34.8923561,0.0,1.0,62.0,7,2,3,3,0
45,1,0,-8.120419,-34.9560682,0.0,0.0,85.0,4,1,3,3,0
64,9,0,-7.9982441,-34.9297058,0.0,0.0,42.0,5,1,3,3,1
64,6,1,-7.9999177,-34.9269306,0.0,18.0,66.0,5,2,3,3,1
56,12,0,-8.0056743,-34.8994827,0.0,0.0,20.0,7,2,3,3,0
64,11,0,-8.0153058,-34.927381,2.6,7.0,19.0,0,1,3,3,0
36,6,1,-8.000125,-34.9168561,3.2,57.0,32.0,5,1,3,3,1
